,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
169,Toronto Raptors,84,New York Knicks,110,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,-26
170,Indiana Pacers,84,Chicago Bulls,87,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,-3
171,Boston Celtics,106,Memphis Grizzlies,110,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,-4
172,Sacramento Kings,95,Denver Nuggets,101,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,-6
173,Washington Wizards,92,Golden State Warriors,101,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,-9
174,Brooklyn Nets,95,Los Angeles Clippers,101,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,-6
175,Atlanta Hawks,104,Milwaukee Bucks,99,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,5
176,Charlotte Bobcats,77,Miami Heat,109,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,-32
177,San Antonio Spurs,95,Houston Rockets,96,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,-1
178,Chicago Bulls,104,Minnesota Timberwolves,97,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,7
179,Portland Trail Blazers,83,Oklahoma City Thunder,103,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,-20
180,Utah Jazz,108,Dallas Mavericks,113,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,-5
181,Brooklyn Nets,102,Phoenix Suns,100,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,2
182,Philadelphia 76ers,117,Sacramento Kings,103,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,14
183,Atlanta Hawks,94,Indiana Pacers,100,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,-6
184,Miami Heat,108,Orlando Magic,94,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,14
185,Memphis Grizzlies,94,Washington Wizards,107,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,-13
186,Denver Nuggets,86,New Orleans Hornets,110,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,-24
187,Philadelphia 76ers,91,Utah Jazz,107,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,-16
188,Los Angeles Lakers,103,Golden State Warriors,109,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,-6
189,New York Knicks,100,Boston Celtics,85,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,15
190,Minnesota Timberwolves,105,Detroit Pistons,82,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,14,1,13,672.0,99.0,115.7,-16.8,63.1,1.47,17.5,29.3,69.6,48.2,16.4,47.9,51.0,90.36,39.6,23
191,Los Angeles Clippers,102,Dallas Mavericks,109,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,-7
192,Orlando Magic,108,Charlotte Bobcats,114,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,-6
193,Boston Celtics,93,Cleveland Cavaliers,92,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,14,2,12,672.0,99.7,110.1,-10.4,58.4,1.48,16.4,28.2,69.9,47.9,15.1,47.4,50.7,93.61,41.7,1
194,Milwaukee Bucks,92,Philadelphia 76ers,100,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,-8
195,Atlanta Hawks,107,Toronto Raptors,88,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,19
196,Memphis Grizzlies,101,New York Knicks,108,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,-7
197,Miami Heat,97,Chicago Bulls,101,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,-4
198,Indiana Pacers,100,Houston Rockets,91,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,9
199,Los Angeles Lakers,120,Minnesota Timberwolves,117,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,3
200,Los Angeles Clippers,105,New Orleans Hornets,91,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,14
201,Washington Wizards,80,Oklahoma City Thunder,103,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,-23
202,Denver Nuggets,99,San Antonio Spurs,100,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,-1
203,Phoenix Suns,88,Utah Jazz,103,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,-15
204,Sacramento Kings,105,Golden State Warriors,98,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,7
205,Brooklyn Nets,111,Portland Trail Blazers,93,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,18
206,Los Angeles Lakers,103,Milwaukee Bucks,113,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,-10
207,Indiana Pacers,103,Dallas Mavericks,78,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,25
208,Sacramento Kings,117,Phoenix Suns,103,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,14
209,Washington Wizards,92,Orlando Magic,97,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,-5
210,Atlanta Hawks,107,Boston Celtics,118,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,-11
211,Philadelphia 76ers,97,Cleveland Cavaliers,87,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,14,2,12,672.0,99.7,110.1,-10.4,58.4,1.48,16.4,28.2,69.9,47.9,15.1,47.4,50.7,93.61,41.7,10
212,Toronto Raptors,99,Detroit Pistons,82,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,14,1,13,672.0,99.0,115.7,-16.8,63.1,1.47,17.5,29.3,69.6,48.2,16.4,47.9,51.0,90.36,39.6,17
213,Charlotte Bobcats,102,New York Knicks,111,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,-9
214,Houston Rockets,94,Memphis Grizzlies,103,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,-9
215,Oklahoma City Thunder,93,Minnesota Timberwolves,101,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,-8
216,Miami Heat,108,New Orleans Hornets,89,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,19
217,Los Angeles Clippers,102,San Antonio Spurs,104,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,-2
218,Brooklyn Nets,87,Denver Nuggets,109,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,15,13,2,725.0,109.9,101.7,8.2,59.2,1.58,17.8,33.7,67.5,51.3,15.8,52.2,55.9,95.50,56.0,-22
219,Utah Jazz,105,Portland Trail Blazers,95,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,10
220,Chicago Bulls,98,Dallas Mavericks,100,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,16,11,5,773.0,108.3,108.1,0.2,59.4,1.76,18.6,23.4,71.3,48.3,14.2,54.3,57.4,94.11,50.8,-2
221,Orlando Magic,88,Atlanta Hawks,97,16,3,13,768.0,101.9,111.6,-9.7,55.7,1.51,16.4,30.1,70.3,49.3,14.9,48.1,51.2,93.91,43.7,18,8,10,869.0,102.6,103.8,-1.2,65.9,1.60,19.2,23.8,69.4,47.4,16.3,52.0,54.9,94.87,50.8,-9
222,Los Angeles Clippers,81,Houston Rockets,98,14,7,7,677.0,111.6,107.7,3.9,61.8,1.65,18.5,32.5,72.5,52.2,15.8,53.6,56.7,89.94,52.4,14,9,5,672.0,109.2,102.3,6.9,60.7,1.29,16.6,31.0,72.4,51.6,17.7,52.2,56.8,94.93,53.2,-17
223,Memphis Grizzlies,99,Minnesota Timberwolves,86,17,11,6,821.0,107.6,103.0,4.6,56.9,1.62,16.9,32.7,69.7,51.2,14.6,49.2,53.3,88.34,52.8,17,6,11,816.0,101.4,103.9,-2.4,60.7,1.56,17.2,27.9,68.8,47.7,15.2,47.8,51.6,94.24,48.3,13
224,Charlotte Bobcats,92,Philadelphia 76ers,100,16,4,12,768.0,101.0,113.0,-11.9,58.4,1.60,16.0,27.9,68.3,46.3,13.7,46.2,50.7,91.91,42.1,17,8,9,816.0,105.2,106.8,-1.7,66.1,1.86,19.6,31.7,68.8,50.0,15.1,50.7,53.1,92.15,49.5,-8
225,Oklahoma City Thunder,109,Milwaukee Bucks,99,17,12,5,821.0,108.3,100.5,7.8,52.8,1.29,15.3,28.9,69.8,51.3,15.8,51.0,56.7,95.04,57.1,16,7,9,778.0,105.6,109.7,-4.1,62.1,1.95,17.9,31.6,69.9,49.6,13.1,48.5,51.8,95.35,47.7,10
226,Brooklyn Nets,107,Utah Jazz,116,15,8,7,720.0,109.8,105.4,4.4,55.0,1.34,16.2,37.3,71.7,54.4,17.0,51.4,54.9,90.80,52.3,16,7,9,778.0,104.9,104.2,0.8,57.7,1.40,16.7,34.7,71.5,52.7,16.6,49.5,53.2,92.24,51.1,-9
227,Indiana Pacers,112,Phoenix Suns,104,16,11,5,768.0,106.8,96.7,10.1,56.4,1.37,15.7,34.2,72.3,53.8,16.0,48.4,53.2,92.31,56.7,15,3,12,720.0,97.3,108.7,-11.4,61.8,1.33,16.9,32.0,69.3,49.4,17.8,47.0,50.1,96.87,43.2,8
228,Los Angeles Lakers,103,Sacramento Kings,98,15,9,6,725.0,106.3,107.0,-0.7,59.6,1.54,16.6,28.6,68.9,49.2,14.7,50.6,54.3,95.64,50.5,15,7,8,720.0,111.4,107.9,3.5,55.6,1.59,17.3,29.3,68.6,49.4,14.8,53.4,57.0,96.33,49.4,5
229,Portland Trail Blazers,98,Golden State Warriors,125,16,7,9,768.0,109.8,109.6,0.1,60.5,1.81,18.2,28.5,70.6,49.9,13.9,52.7,56.1,92.44,49.2,16,9,7,768.0,104.4,99.2,5.2,58.4,1.49,17.0,27.3,72.2,50.7,15.4,50.5,54.2,95.66,52.8,-27
230,Cleveland Cavaliers,92,New Orleans Hornets,112,14,2,12,672.0,99.7,110.1,-10.4,58.4,1.48,16.4,28.2,69.9,47.9,15.1,47.4,50.7,93.61,41.7,15,6,9,720.0,108.1,110.8,-2.7,56.9,1.39,16.6,38.0,73.1,54.7,16.9,49.7,53.7,87.47,47.5,-20
231,Toronto Raptors,92,Washington Wizards,109,15,4,11,730.0,102.8,108.4,-5.6,53.6,1.24,15.5,30.9,71.2,50.4,16.9,48.5,52.8,93.21,45.6,17,9,8,816.0,104.2,102.3,1.9,60.8,1.51,16.9,29.3,70.8,50.3,15.4,49.2,53.4,92.97,50.5,-17
232,Detroit Pistons,94,Chicago Bulls,95,14,1,13,672.0,99.0,115.7,-16.8,63.1,1.47,17.5,29.3,69.6,48.2,16.4,47.9,51.0,90.36,39.6,14,7,7,677.0,103.5,106.8,-3.3,64.4,1.76,18.2,32.2,71.6,50.8,14.7,47.7,51.3,90.75,48.0,-1
233,Miami Heat,88,San Antonio Spurs,86,18,17,1,864.0,111.4,100.0,11.4,64.3,1.70,19.3,24.5,64.8,46.4,15.5,55.7,59.2,91.03,58.6,14,10,4,677.0,109.0,103.5,5.5,66.7,1.77,20.1,27.2,72.4,51.0,15.9,53.9,57.5,94.05,55.4,2
234,Boston Celtics,89,New York Knicks,108,16,8,8,773.0,102.3,103.4,-1.1,61.9,1.40,17.7,22.0,69.6,47.5,16.8,51.9,55.9,93.17,50.3,18,12,6,864.0,107.8,103.8,4.0,52.3,1.34,15.2,28.2,69.3,48.9,15.1,51.6,55.7,89.86,51.4,-19
