,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
169,Brooklyn Nets,107,Dallas Mavericks,104,16,12,4,783.0,110.3,104.3,6.0,57.3,1.55,17.0,24.4,66.1,45.7,14.6,54.6,58.4,91.86,53.2,14,8,6,687.0,110.2,108.0,2.2,59.3,1.65,17.7,28.6,69.3,49.3,14.6,52.9,56.9,95.06,52.7,3
170,Cleveland Cavaliers,106,New York Knicks,100,15,6,9,720.0,105.1,109.9,-4.9,59.1,1.53,17.4,27.9,72.4,50.7,15.5,51.3,54.7,93.33,46.7,16,11,5,768.0,111.3,108.3,2.9,53.6,1.66,16.3,28.8,68.0,48.9,13.3,52.4,56.2,90.88,51.3,6
171,Orlando Magic,94,Los Angeles Lakers,103,14,3,11,682.0,101.3,107.0,-5.7,56.2,1.40,16.4,29.3,71.8,50.5,15.9,48.6,52.2,94.66,47.2,14,5,9,672.0,105.4,114.4,-9.0,64.4,1.74,18.6,24.0,68.4,45.1,14.6,51.0,54.9,103.43,45.0,-9
172,Houston Rockets,100,Charlotte Bobcats,89,14,10,4,677.0,113.1,105.3,7.8,59.2,1.43,17.1,32.3,69.2,51.4,16.6,54.2,58.3,96.74,54.3,16,9,7,778.0,109.2,108.4,0.9,57.4,1.91,17.3,29.3,71.4,50.4,12.5,50.7,54.7,91.80,52.4,11
173,Phoenix Suns,102,Atlanta Hawks,95,16,10,6,768.0,109.7,107.1,2.6,51.4,1.21,15.4,28.5,72.7,51.1,16.9,54.2,57.9,97.84,50.8,16,6,10,773.0,102.9,107.9,-5.0,64.3,1.50,17.6,25.9,72.6,48.2,16.0,49.4,53.8,95.44,46.1,7
174,Portland Trail Blazers,91,Miami Heat,93,17,8,9,826.0,106.6,105.1,1.5,57.9,1.50,16.2,29.2,71.5,50.7,14.7,49.1,53.9,94.78,50.1,18,10,8,869.0,109.4,105.5,3.9,57.8,1.50,17.6,26.9,67.6,48.4,15.8,53.9,57.8,89.59,53.2,-2
175,Indiana Pacers,77,Chicago Bulls,89,18,8,10,869.0,98.2,103.4,-5.2,54.8,1.22,14.8,28.3,71.1,50.2,16.2,46.0,51.0,90.31,47.9,16,10,6,773.0,102.8,99.8,3.0,66.2,1.76,18.2,28.7,70.2,50.0,14.4,47.5,52.3,89.85,53.6,-12
176,Minnesota Timberwolves,92,Memphis Grizzlies,109,16,8,8,773.0,110.4,110.1,0.3,62.9,1.83,18.0,28.7,68.9,48.2,13.6,50.2,55.5,99.57,51.2,17,12,5,816.0,107.8,101.8,6.0,56.0,1.59,17.3,32.6,71.8,52.3,15.2,51.2,54.2,89.88,54.6,-17
177,Brooklyn Nets,104,New Orleans Pelicans,109,16,12,4,783.0,110.3,104.3,6.0,57.3,1.55,17.0,24.4,66.1,45.7,14.6,54.6,58.4,91.86,53.2,16,9,7,783.0,107.2,109.4,-2.2,56.0,1.51,16.5,28.3,68.5,48.9,14.7,50.1,55.3,93.24,50.1,-5
178,Denver Nuggets,96,Oklahoma City Thunder,117,17,7,10,821.0,106.1,109.1,-2.9,61.0,1.48,17.3,27.8,71.1,49.3,16.0,51.4,55.2,101.06,48.0,14,10,4,687.0,111.1,102.9,8.3,59.2,1.50,17.1,27.2,74.0,51.7,15.5,53.0,57.8,97.99,54.7,-21
179,Philadelphia 76ers,91,San Antonio Spurs,113,16,1,15,768.0,96.5,108.6,-12.1,59.5,1.25,15.8,29.3,68.7,47.5,17.4,46.6,49.7,97.94,40.2,16,16,0,768.0,115.6,97.4,18.3,66.8,2.10,20.5,28.1,74.5,52.4,13.9,55.2,58.5,96.91,60.5,-22
180,Detroit Pistons,114,Utah Jazz,94,16,4,12,773.0,104.3,110.4,-6.1,57.4,1.62,16.6,32.6,69.6,50.5,14.3,47.9,51.0,95.78,46.3,17,2,15,816.0,101.0,113.9,-12.9,56.4,1.32,15.8,29.7,74.2,50.2,16.3,48.2,51.8,91.56,40.9,20
181,Milwaukee Bucks,98,Los Angeles Clippers,106,17,3,14,821.0,109.1,115.3,-6.2,59.8,1.74,17.3,33.5,67.5,49.9,14.1,49.3,53.8,92.99,46.8,15,13,2,720.0,112.0,100.5,11.6,63.6,1.79,19.0,30.1,68.3,50.1,14.8,53.9,57.3,97.43,57.4,-8
182,Toronto Raptors,100,Cleveland Cavaliers,102,16,10,6,783.0,109.5,105.9,3.6,56.7,1.44,16.3,30.3,72.0,51.0,15.5,51.1,56.1,91.92,52.0,15,6,9,720.0,105.1,109.9,-4.9,59.1,1.53,17.4,27.9,72.4,50.7,15.5,51.3,54.7,93.33,46.7,-2
183,Portland Trail Blazers,85,Orlando Magic,95,17,8,9,826.0,106.6,105.1,1.5,57.9,1.50,16.2,29.2,71.5,50.7,14.7,49.1,53.9,94.78,50.1,14,3,11,682.0,101.3,107.0,-5.7,56.2,1.40,16.4,29.3,71.8,50.5,15.9,48.6,52.2,94.66,47.2,-10
184,Oklahoma City Thunder,119,Dallas Mavericks,128,14,10,4,687.0,111.1,102.9,8.3,59.2,1.50,17.1,27.2,74.0,51.7,15.5,53.0,57.8,97.99,54.7,14,8,6,687.0,110.2,108.0,2.2,59.3,1.65,17.7,28.6,69.3,49.3,14.6,52.9,56.9,95.06,52.7,-9
185,New York Knicks,96,Los Angeles Lakers,127,16,11,5,768.0,111.3,108.3,2.9,53.6,1.66,16.3,28.8,68.0,48.9,13.3,52.4,56.2,90.88,51.3,14,5,9,672.0,105.4,114.4,-9.0,64.4,1.74,18.6,24.0,68.4,45.1,14.6,51.0,54.9,103.43,45.0,-31
186,Brooklyn Nets,111,Charlotte Bobcats,116,16,12,4,783.0,110.3,104.3,6.0,57.3,1.55,17.0,24.4,66.1,45.7,14.6,54.6,58.4,91.86,53.2,16,9,7,778.0,109.2,108.4,0.9,57.4,1.91,17.3,29.3,71.4,50.4,12.5,50.7,54.7,91.80,52.4,-5
187,Phoenix Suns,99,Washington Wizards,93,16,10,6,768.0,109.7,107.1,2.6,51.4,1.21,15.4,28.5,72.7,51.1,16.9,54.2,57.9,97.84,50.8,16,8,8,778.0,107.1,106.0,1.1,58.9,1.54,17.4,29.7,70.7,50.0,15.6,51.7,54.9,94.37,49.8,6
188,Toronto Raptors,99,Boston Celtics,90,16,10,6,783.0,109.5,105.9,3.6,56.7,1.44,16.3,30.3,72.0,51.0,15.5,51.1,56.1,91.92,52.0,15,3,12,725.0,103.2,110.3,-7.1,62.8,1.53,17.2,33.4,70.4,50.6,15.9,47.2,51.2,91.93,44.3,9
189,Cleveland Cavaliers,97,Detroit Pistons,96,15,6,9,720.0,105.1,109.9,-4.9,59.1,1.53,17.4,27.9,72.4,50.7,15.5,51.3,54.7,93.33,46.7,16,4,12,773.0,104.3,110.4,-6.1,57.4,1.62,16.6,32.6,69.6,50.5,14.3,47.9,51.0,95.78,46.3,1
190,Miami Heat,83,Indiana Pacers,84,18,10,8,869.0,109.4,105.5,3.9,57.8,1.50,17.6,26.9,67.6,48.4,15.8,53.9,57.8,89.59,53.2,18,8,10,869.0,98.2,103.4,-5.2,54.8,1.22,14.8,28.3,71.1,50.2,16.2,46.0,51.0,90.31,47.9,-1
191,Atlanta Hawks,83,Minnesota Timberwolves,107,16,6,10,773.0,102.9,107.9,-5.0,64.3,1.50,17.6,25.9,72.6,48.2,16.0,49.4,53.8,95.44,46.1,16,8,8,773.0,110.4,110.1,0.3,62.9,1.83,18.0,28.7,68.9,48.2,13.6,50.2,55.5,99.57,51.2,-24
192,Los Angeles Clippers,96,New Orleans Pelicans,98,15,13,2,720.0,112.0,100.5,11.6,63.6,1.79,19.0,30.1,68.3,50.1,14.8,53.9,57.3,97.43,57.4,16,9,7,783.0,107.2,109.4,-2.2,56.0,1.51,16.5,28.3,68.5,48.9,14.7,50.1,55.3,93.24,50.1,-2
193,Denver Nuggets,103,San Antonio Spurs,108,17,7,10,821.0,106.1,109.1,-2.9,61.0,1.48,17.3,27.8,71.1,49.3,16.0,51.4,55.2,101.06,48.0,16,16,0,768.0,115.6,97.4,18.3,66.8,2.10,20.5,28.1,74.5,52.4,13.9,55.2,58.5,96.91,60.5,-5
194,New York Knicks,107,Sacramento Kings,99,16,11,5,768.0,111.3,108.3,2.9,53.6,1.66,16.3,28.8,68.0,48.9,13.3,52.4,56.2,90.88,51.3,16,6,10,773.0,104.0,106.3,-2.2,47.4,1.00,13.4,35.0,77.3,55.8,18.1,48.1,52.9,94.35,47.1,8
195,Memphis Grizzlies,91,Utah Jazz,87,17,12,5,816.0,107.8,101.8,6.0,56.0,1.59,17.3,32.6,71.8,52.3,15.2,51.2,54.2,89.88,54.6,17,2,15,816.0,101.0,113.9,-12.9,56.4,1.32,15.8,29.7,74.2,50.2,16.3,48.2,51.8,91.56,40.9,4
196,Portland Trail Blazers,100,Atlanta Hawks,85,17,8,9,826.0,106.6,105.1,1.5,57.9,1.50,16.2,29.2,71.5,50.7,14.7,49.1,53.9,94.78,50.1,16,6,10,773.0,102.9,107.9,-5.0,64.3,1.50,17.6,25.9,72.6,48.2,16.0,49.4,53.8,95.44,46.1,15
197,Philadelphia 76ers,98,Houston Rockets,120,16,1,15,768.0,96.5,108.6,-12.1,59.5,1.25,15.8,29.3,68.7,47.5,17.4,46.6,49.7,97.94,40.2,14,10,4,677.0,113.1,105.3,7.8,59.2,1.43,17.1,32.3,69.2,51.4,16.6,54.2,58.3,96.74,54.3,-22
198,Los Angeles Lakers,105,Milwaukee Bucks,108,14,5,9,672.0,105.4,114.4,-9.0,64.4,1.74,18.6,24.0,68.4,45.1,14.6,51.0,54.9,103.43,45.0,17,3,14,821.0,109.1,115.3,-6.2,59.8,1.74,17.3,33.5,67.5,49.9,14.1,49.3,53.8,92.99,46.8,-3
199,Los Angeles Clippers,109,Dallas Mavericks,103,15,13,2,720.0,112.0,100.5,11.6,63.6,1.79,19.0,30.1,68.3,50.1,14.8,53.9,57.3,97.43,57.4,14,8,6,687.0,110.2,108.0,2.2,59.3,1.65,17.7,28.6,69.3,49.3,14.6,52.9,56.9,95.06,52.7,6
200,Charlotte Bobcats,105,Orlando Magic,110,16,9,7,778.0,109.2,108.4,0.9,57.4,1.91,17.3,29.3,71.4,50.4,12.5,50.7,54.7,91.80,52.4,14,3,11,682.0,101.3,107.0,-5.7,56.2,1.40,16.4,29.3,71.8,50.5,15.9,48.6,52.2,94.66,47.2,-5
201,Boston Celtics,103,Toronto Raptors,105,15,3,12,725.0,103.2,110.3,-7.1,62.8,1.53,17.2,33.4,70.4,50.6,15.9,47.2,51.2,91.93,44.3,16,10,6,783.0,109.5,105.9,3.6,56.7,1.44,16.3,30.3,72.0,51.0,15.5,51.1,56.1,91.92,52.0,-2
202,Indiana Pacers,78,Washington Wizards,91,18,8,10,869.0,98.2,103.4,-5.2,54.8,1.22,14.8,28.3,71.1,50.2,16.2,46.0,51.0,90.31,47.9,16,8,8,778.0,107.1,106.0,1.1,58.9,1.54,17.4,29.7,70.7,50.0,15.6,51.7,54.9,94.37,49.8,-13
203,Cleveland Cavaliers,97,Brooklyn Nets,108,15,6,9,720.0,105.1,109.9,-4.9,59.1,1.53,17.4,27.9,72.4,50.7,15.5,51.3,54.7,93.33,46.7,16,12,4,783.0,110.3,104.3,6.0,57.3,1.55,17.0,24.4,66.1,45.7,14.6,54.6,58.4,91.86,53.2,-11
204,Miami Heat,110,Detroit Pistons,78,18,10,8,869.0,109.4,105.5,3.9,57.8,1.50,17.6,26.9,67.6,48.4,15.8,53.9,57.8,89.59,53.2,16,4,12,773.0,104.3,110.4,-6.1,57.4,1.62,16.6,32.6,69.6,50.5,14.3,47.9,51.0,95.78,46.3,32
205,Portland Trail Blazers,91,Chicago Bulls,74,17,8,9,826.0,106.6,105.1,1.5,57.9,1.50,16.2,29.2,71.5,50.7,14.7,49.1,53.9,94.78,50.1,16,10,6,773.0,102.8,99.8,3.0,66.2,1.76,18.2,28.7,70.2,50.0,14.4,47.5,52.3,89.85,53.6,17
206,Los Angeles Lakers,107,Minnesota Timberwolves,143,14,5,9,672.0,105.4,114.4,-9.0,64.4,1.74,18.6,24.0,68.4,45.1,14.6,51.0,54.9,103.43,45.0,16,8,8,773.0,110.4,110.1,0.3,62.9,1.83,18.0,28.7,68.9,48.2,13.6,50.2,55.5,99.57,51.2,-36
207,Utah Jazz,95,New Orleans Pelicans,102,17,2,15,816.0,101.0,113.9,-12.9,56.4,1.32,15.8,29.7,74.2,50.2,16.3,48.2,51.8,91.56,40.9,16,9,7,783.0,107.2,109.4,-2.2,56.0,1.51,16.5,28.3,68.5,48.9,14.7,50.1,55.3,93.24,50.1,-7
208,Sacramento Kings,81,Oklahoma City Thunder,94,16,6,10,773.0,104.0,106.3,-2.2,47.4,1.00,13.4,35.0,77.3,55.8,18.1,48.1,52.9,94.35,47.1,14,10,4,687.0,111.1,102.9,8.3,59.2,1.50,17.1,27.2,74.0,51.7,15.5,53.0,57.8,97.99,54.7,-13
209,San Antonio Spurs,133,Denver Nuggets,102,16,16,0,768.0,115.6,97.4,18.3,66.8,2.10,20.5,28.1,74.5,52.4,13.9,55.2,58.5,96.91,60.5,17,7,10,821.0,106.1,109.1,-2.9,61.0,1.48,17.3,27.8,71.1,49.3,16.0,51.4,55.2,101.06,48.0,31
210,New York Knicks,88,Phoenix Suns,112,16,11,5,768.0,111.3,108.3,2.9,53.6,1.66,16.3,28.8,68.0,48.9,13.3,52.4,56.2,90.88,51.3,16,10,6,768.0,109.7,107.1,2.6,51.4,1.21,15.4,28.5,72.7,51.1,16.9,54.2,57.9,97.84,50.8,-24
211,Memphis Grizzlies,93,Golden State Warriors,100,17,12,5,816.0,107.8,101.8,6.0,56.0,1.59,17.3,32.6,71.8,52.3,15.2,51.2,54.2,89.88,54.6,14,9,5,672.0,107.1,103.4,3.7,60.8,1.73,18.0,26.4,73.9,50.6,14.2,51.8,55.6,95.57,52.2,-7
212,Detroit Pistons,98,Philadelphia 76ers,123,16,4,12,773.0,104.3,110.4,-6.1,57.4,1.62,16.6,32.6,69.6,50.5,14.3,47.9,51.0,95.78,46.3,16,1,15,768.0,96.5,108.6,-12.1,59.5,1.25,15.8,29.3,68.7,47.5,17.4,46.6,49.7,97.94,40.2,-25
213,Los Angeles Clippers,118,Houston Rockets,107,15,13,2,720.0,112.0,100.5,11.6,63.6,1.79,19.0,30.1,68.3,50.1,14.8,53.9,57.3,97.43,57.4,14,10,4,677.0,113.1,105.3,7.8,59.2,1.43,17.1,32.3,69.2,51.4,16.6,54.2,58.3,96.74,54.3,11
214,Atlanta Hawks,97,Washington Wizards,101,16,6,10,773.0,102.9,107.9,-5.0,64.3,1.50,17.6,25.9,72.6,48.2,16.0,49.4,53.8,95.44,46.1,16,8,8,778.0,107.1,106.0,1.1,58.9,1.54,17.4,29.7,70.7,50.0,15.6,51.7,54.9,94.37,49.8,-4
215,Sacramento Kings,100,Dallas Mavericks,103,16,6,10,773.0,104.0,106.3,-2.2,47.4,1.00,13.4,35.0,77.3,55.8,18.1,48.1,52.9,94.35,47.1,14,8,6,687.0,110.2,108.0,2.2,59.3,1.65,17.7,28.6,69.3,49.3,14.6,52.9,56.9,95.06,52.7,-3
216,Miami Heat,88,Milwaukee Bucks,67,18,10,8,869.0,109.4,105.5,3.9,57.8,1.50,17.6,26.9,67.6,48.4,15.8,53.9,57.8,89.59,53.2,17,3,14,821.0,109.1,115.3,-6.2,59.8,1.74,17.3,33.5,67.5,49.9,14.1,49.3,53.8,92.99,46.8,21
217,New Orleans Pelicans,80,San Antonio Spurs,96,16,9,7,783.0,107.2,109.4,-2.2,56.0,1.51,16.5,28.3,68.5,48.9,14.7,50.1,55.3,93.24,50.1,16,16,0,768.0,115.6,97.4,18.3,66.8,2.10,20.5,28.1,74.5,52.4,13.9,55.2,58.5,96.91,60.5,-16
218,Indiana Pacers,76,Cleveland Cavaliers,90,18,8,10,869.0,98.2,103.4,-5.2,54.8,1.22,14.8,28.3,71.1,50.2,16.2,46.0,51.0,90.31,47.9,15,6,9,720.0,105.1,109.9,-4.9,59.1,1.53,17.4,27.9,72.4,50.7,15.5,51.3,54.7,93.33,46.7,-14
219,Utah Jazz,96,Oklahoma City Thunder,116,17,2,15,816.0,101.0,113.9,-12.9,56.4,1.32,15.8,29.7,74.2,50.2,16.3,48.2,51.8,91.56,40.9,14,10,4,687.0,111.1,102.9,8.3,59.2,1.50,17.1,27.2,74.0,51.7,15.5,53.0,57.8,97.99,54.7,-20
220,Minnesota Timberwolves,99,Brooklyn Nets,114,16,8,8,773.0,110.4,110.1,0.3,62.9,1.83,18.0,28.7,68.9,48.2,13.6,50.2,55.5,99.57,51.2,16,12,4,783.0,110.3,104.3,6.0,57.3,1.55,17.0,24.4,66.1,45.7,14.6,54.6,58.4,91.86,53.2,-15
221,Toronto Raptors,98,Orlando Magic,93,16,10,6,783.0,109.5,105.9,3.6,56.7,1.44,16.3,30.3,72.0,51.0,15.5,51.1,56.1,91.92,52.0,14,3,11,682.0,101.3,107.0,-5.7,56.2,1.40,16.4,29.3,71.8,50.5,15.9,48.6,52.2,94.66,47.2,5
222,Chicago Bulls,107,Boston Celtics,102,16,10,6,773.0,102.8,99.8,3.0,66.2,1.76,18.2,28.7,70.2,50.0,14.4,47.5,52.3,89.85,53.6,15,3,12,725.0,103.2,110.3,-7.1,62.8,1.53,17.2,33.4,70.4,50.6,15.9,47.2,51.2,91.93,44.3,5
223,New York Knicks,89,Golden State Warriors,84,16,11,5,768.0,111.3,108.3,2.9,53.6,1.66,16.3,28.8,68.0,48.9,13.3,52.4,56.2,90.88,51.3,14,9,5,672.0,107.1,103.4,3.7,60.8,1.73,18.0,26.4,73.9,50.6,14.2,51.8,55.6,95.57,52.2,5
224,Memphis Grizzlies,98,Portland Trail Blazers,105,17,12,5,816.0,107.8,101.8,6.0,56.0,1.59,17.3,32.6,71.8,52.3,15.2,51.2,54.2,89.88,54.6,17,8,9,826.0,106.6,105.1,1.5,57.9,1.50,16.2,29.2,71.5,50.7,14.7,49.1,53.9,94.78,50.1,-7
225,Phoenix Suns,99,Los Angeles Lakers,115,16,10,6,768.0,109.7,107.1,2.6,51.4,1.21,15.4,28.5,72.7,51.1,16.9,54.2,57.9,97.84,50.8,14,5,9,672.0,105.4,114.4,-9.0,64.4,1.74,18.6,24.0,68.4,45.1,14.6,51.0,54.9,103.43,45.0,-16
226,Washington Wizards,94,Charlotte Bobcats,100,16,8,8,778.0,107.1,106.0,1.1,58.9,1.54,17.4,29.7,70.7,50.0,15.6,51.7,54.9,94.37,49.8,16,9,7,778.0,109.2,108.4,0.9,57.4,1.91,17.3,29.3,71.4,50.4,12.5,50.7,54.7,91.80,52.4,-6
227,San Antonio Spurs,103,Indiana Pacers,77,16,16,0,768.0,115.6,97.4,18.3,66.8,2.10,20.5,28.1,74.5,52.4,13.9,55.2,58.5,96.91,60.5,18,8,10,869.0,98.2,103.4,-5.2,54.8,1.22,14.8,28.3,71.1,50.2,16.2,46.0,51.0,90.31,47.9,26
228,Philadelphia 76ers,95,Atlanta Hawks,103,16,1,15,768.0,96.5,108.6,-12.1,59.5,1.25,15.8,29.3,68.7,47.5,17.4,46.6,49.7,97.94,40.2,16,6,10,773.0,102.9,107.9,-5.0,64.3,1.50,17.6,25.9,72.6,48.2,16.0,49.4,53.8,95.44,46.1,-8
229,Milwaukee Bucks,111,Detroit Pistons,116,17,3,14,821.0,109.1,115.3,-6.2,59.8,1.74,17.3,33.5,67.5,49.9,14.1,49.3,53.8,92.99,46.8,16,4,12,773.0,104.3,110.4,-6.1,57.4,1.62,16.6,32.6,69.6,50.5,14.3,47.9,51.0,95.78,46.3,-5
230,Toronto Raptors,83,Miami Heat,93,16,10,6,783.0,109.5,105.9,3.6,56.7,1.44,16.3,30.3,72.0,51.0,15.5,51.1,56.1,91.92,52.0,18,10,8,869.0,109.4,105.5,3.9,57.8,1.50,17.6,26.9,67.6,48.4,15.8,53.9,57.8,89.59,53.2,-10
231,Boston Celtics,80,Chicago Bulls,94,15,3,12,725.0,103.2,110.3,-7.1,62.8,1.53,17.2,33.4,70.4,50.6,15.9,47.2,51.2,91.93,44.3,16,10,6,773.0,102.8,99.8,3.0,66.2,1.76,18.2,28.7,70.2,50.0,14.4,47.5,52.3,89.85,53.6,-14
232,Los Angeles Clippers,114,Minnesota Timberwolves,104,15,13,2,720.0,112.0,100.5,11.6,63.6,1.79,19.0,30.1,68.3,50.1,14.8,53.9,57.3,97.43,57.4,16,8,8,773.0,110.4,110.1,0.3,62.9,1.83,18.0,28.7,68.9,48.2,13.6,50.2,55.5,99.57,51.2,10
233,Sacramento Kings,102,New Orleans Pelicans,97,16,6,10,773.0,104.0,106.3,-2.2,47.4,1.00,13.4,35.0,77.3,55.8,18.1,48.1,52.9,94.35,47.1,16,9,7,783.0,107.2,109.4,-2.2,56.0,1.51,16.5,28.3,68.5,48.9,14.7,50.1,55.3,93.24,50.1,5
234,Memphis Grizzlies,94,Denver Nuggets,92,17,12,5,816.0,107.8,101.8,6.0,56.0,1.59,17.3,32.6,71.8,52.3,15.2,51.2,54.2,89.88,54.6,17,7,10,821.0,106.1,109.1,-2.9,61.0,1.48,17.3,27.8,71.1,49.3,16.0,51.4,55.2,101.06,48.0,2
235,New York Knicks,92,Utah Jazz,83,16,11,5,768.0,111.3,108.3,2.9,53.6,1.66,16.3,28.8,68.0,48.9,13.3,52.4,56.2,90.88,51.3,17,2,15,816.0,101.0,113.9,-12.9,56.4,1.32,15.8,29.7,74.2,50.2,16.3,48.2,51.8,91.56,40.9,9
